Name,Price,Link
"HP ProBook 640 G5 14"" HD Laptop Computer Core i5 16GB RAM 256GB SSD Windows 11",196.09,https://www.ebay.com/itm/283951308518?_skw=laptop&hash=item421cd11ee6:g:XxkAAOSwGlZnyPx7&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1c1Y3tom7f%2BQSegh8fSpbK98TBU9buQo2wcnLdUHdGlmlnJzwlSRxqaksFgVshqGRd%2Fd1yBcXZdnGzn4V9mY3G9VXtn07YbeX2HOMPOB8MsSVAZRJ37jlSLhdHjxxNY%2BVxQJ%2FtX5VNYT3rPZ83oUe1%2FGzvpqHT0Y6HxiYRELtvkoSndSVTC31fERj0uGLospkMSkrrBGudO55vjajZtkAkpD4YosZ9puqJAMXay9uMkQvIkpfJA2uCz7HZdiI3kvSftKPbHRsOTKqhVw47rFDWi%7Ctkp%3ABk9SR6iN0YrBZQ
"ASUS Vivobook S15 15.6"" 3K OLED Snapdragon X Elite X1E 78 100 32GB 1TB SSD W11H",633.00,https://www.ebay.com/itm/167402765654?_skw=laptop&hash=item26f9fb7d56:g:EbgAAeSw40Bn4x5a&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fsGDbzgNOWWE7UcoNAEVgRy3jWCBvlGZu3rm6Du0xwxDKvlyIFCx72m1acngobb87OUoEfrUEOXlB0CHIWB6UONETleJvSBNlZFzmTW6PSoRNMxWGSj8e91zIlG0S9xSXZWksqnaP%2BYm8gW6QAER1x01%2FXHLMp4O95XrmSTPSVEiHuGaw59JNiBXlKdpaTABdt%2BjV%2FF2bsbCzkKtA7ILyNnO2O4mTzJukpu03LJJILLA%3D%3D%7Ctkp%3ABk9SR6iN0YrBZQ
"HP ProBook 640 G5 14"" FHD Touch Win 11 PRO Laptop i5-8365u 8GB 256GB SSD USB-C C",85.00,https://www.ebay.com/itm/236003258345?_skw=laptop&hash=item36f2e3efe9:g:kX4AAOSw4m5nk-rC&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cll85qZ1J%2BO1hkMIzZXjKznkp5EHYhtTllToca0zTT51bNMCzJMo7OblW9G53GnhamcKq23Zc2%2BzOLnCmy3Mh5GX0YhwwnsmAPC7dAtNRvjXXJB0u4gWjKLKIH%2BlS0PAWLCD1haRPR6lcecDVfvb9yYsvPkXt7bxcscuRw%2FArkmZ45%2FXtB7im6%2FmznubRUbgZBq0G2%2Fm6CE46Sgj7zWyAOkM1TP8kNNfIgmqYgvOKvoCKcjPl%2BdpStjBafehh2RwZJNaBcuruYzDyA%2BZtt6h7E%7Ctkp%3ABk9SR6iN0YrBZQ
"2024 Lenovo IdeaPad Laptop Notebook 15.6""  Intel Processor Upto 20GB RAM 1TB SSD",239.00,https://www.ebay.com/itm/126716305927?_skw=laptop&hash=item1d80e16207:g:2YQAAOSwoqxnCBl4&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dR0xxtGBF17ijuj0mVffLeul9L26nAP%2FW%2FAqMwiwaNtvK2IyAjPYmghTEi4VcKh8Z0D3ST22u6QZJ6Ce4MkbGsL1EoZCUVHJKGNWez8ri8hW3qX%2BGPKpF5OLtVPG5jQjmyk1ibSv%2Fz74rDSVxTINgUkELbEPXT1huP1B9RLDLD6BSnSbG%2BJi9pUS88pl3kLWGWUXZ9s5r9C5ufAoH1ZylreaBkiiWwXv%2Fob8Lx7rDSvHhUb%2ByH%2Bb%2FnQedYLJKhXnsNMalwGDgOuwN6YeXtC3K0%7Ctkp%3ABk9SR6iN0YrBZQ
Lenovo ThinkPad X260 Laptop Intel i7-6500U up to 16GB RAM and 1TB SSD Windows11pro,159.95,https://www.ebay.com/itm/146363280062?_skw=laptop&hash=item2213ee6abe:g:zR8AAOSwiktnniRB&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dO6k7Nq4V3J6rL0rFZmQVThhNFqBpw%2B2T%2FcdNCUHTTwg350s8OJhvPaIVIazhFqVpC%2BUnjSpXMjESI0ng4GG3WFYv0xH9BI%2FmDpWOcwFWJBOp0rkaRq0lh6eBbJ4cDoc8EWA1OOERRq%2FGORYFnx7sVHZFr4qWi2VFq6E%2B%2BwMiwShauNt%2B70KvBZLgpm3FkbaZBRvlBMaK1OJYLKBr3fwV%2Fa9hETl2ze0xSVksTvaN9TA%3D%3D%7Ctkp%3ABk9SR6iN0YrBZQ
"Windows 11 PRO Laptop Notebook PC Computer, 8GB Ram, Webcam, Wifi, and HDMI",108.00,https://www.ebay.com/itm/235711075450?_skw=laptop&hash=item36e179947a:g:KMMAAOSwJlFmyVxM&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fA93CoZplrA391mTfvm2qodIv4ETaN1BsYbKktvc5VdpXPnXt0MSWqjMuaOl0DalKyv%2B9n6%2BbZ30Gvj98hjEGEHbAg%2Fg65o0VfmYPiUvCHI4QE3Wzb6MeDzpKH9YhoxEvYUDEI8%2FNoH1MTFy8eaJpBodYVkL1lDa6VzRJ5kulCDiXmzohAH49vhktPMjU9yPWyVaJaD1H2T9opo4VmpauIzfzGNH6op2u33QIS4IA6t5b6dZW1Th%2FdiAebqmERG6kduWjmFdg2nUPrMB9O%2F9qe%7Ctkp%3ABk9SR6iN0YrBZQ
"HP EliteBook 850 G5 15.6""  i5 1.60GHZ  16GB  256GB SSD",149.99,https://www.ebay.com/itm/306193488860?_skw=laptop&hash=item474a8ddbdc:g:XicAAOSw3xNn3d-w&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fpR5QrR9GQ6pccmnWjFB7R755CbjWP%2BxacYPG3Ltmit1XtlG5y2L0F4cl1SSOnxRo2AYln9kriltbWHv32%2F6s1xu5T0y0y2cneIdbWVzJdl37qdV5KVAmxfdc6YQymHi0RUNyEPSmpv579wni5xpTRvmZhv%2FBw1lbHdP2Ph2euNlgoJG7vztym4ml0M9HK1fO8qBxg9z2L4KLX5AjrGy556cBA1nCK09FNSqtxHVi5ig%3D%3D%7Ctkp%3ABk9SR6iN0YrBZQ
2025 HP Laptop Computer 17.3 FHD 6-Core Ryzen 5 Upto 64GB RAM & 2TB SSD Win Pro,439.00,https://www.ebay.com/itm/116453646030?_skw=laptop&hash=item1b1d2d9ece:g:1IsAAOSwBt1nkA5E&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dToGYYqZJTAypCKKgbngM2cke7j5rxllCEpgQ6M7elKeS%2FJ4ESwFZS%2B7lgt2itqPg8UwKbyc92toxp1jeDqW9adP5AcNwXchxjaSbM8wAxVonfL18ZgXLVsBDJ%2FLRzgq2cDhWaTY2%2BkwhLt8mh5LI1kFvsG6tcjRoqWYr2oZhJ2srpEc6g6ixbVzo4R2Vyr2Ia3jElg7NdDXP5oy4ag05oAPnsCYvFSemv45UL7EVUxTC%2FY4RPweikSuBQFmurNQ27UWAijud0h9vtVfxod%2BXL%7Ctkp%3ABk9SR6qN0YrBZQ
"HP 15 Laptop 15.6"" HD Pentium Quad-Core N200 16GB 128GB SSD Webcam Win 11 Red",210.68,https://www.ebay.com/itm/305542356538?_skw=laptop&hash=item4723be5e3a:g:E9YAAOSwFklmMoOx&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dG%2BdmL8zUebF2VmkX03czN1qBqiH1sY0w7Nccitiy6YB%2FKMMPJxcoMlbBpWhN3gSBSxHN6iKjCo8qVwzZ8cjTQjVSp1zspN1Wjs8uy4yw2lo4%2By7J5ErKcDhYpQl58BczBv24cWWB6idofuXlXpwO%2FkGXQouAfUdf7QIsR7w82QQoGf2UNjyff%2FKm0Ga4HWYZ%2FmVg0C4VgFKI%2Fk1Gk2xL%2BN2%2BU1vpiYJFlLZt671fpPg%3D%3D%7Ctkp%3ABk9SR6qN0YrBZQ
"Lenovo LOQ 15.6"" FHD 144Hz Gaming Laptop i5-12450HX 12GB RAM 512GB SSD RTX 3050",599.99,https://www.ebay.com/itm/126480962681?_skw=laptop&hash=item1d72da5479:g:KeEAAOSw~gFmQyw7&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1eMW%2FP54m4YDOCe0qMWR2HfPXMzXvSI7C8PxHcnrVHrhd2fBHFFqU%2FoPfu0%2FyfRBkmkpNXMQ16s3GADCmWWzqkrzvQTcKsokc5Fj1sY9yDywnq4bsYkVhEWbdVZl2DZGK3LFuUvNjR909Ivl9rnHKdJSRCksvp8bIKiiC3DL%2FSlsgznHYjNg%2FhnS5qgOrgkZKpSIvgKcssM5F6nH0ZgXl%2BYRE7SBC36jJ8atyhtJtbGDg%3D%3D%7Ctkp%3ABk9SR6qN0YrBZQ
